id,nombre,descripcion,casa_productora,precio,existencia
239,Acetaminophen,"Burn 2nd deg mul sites of right lower limb, ex ank/ft, subs",Family Dollar (FAMILY WELLNESS),$40.49,15
240,Pedi-Quick OneStep Corn Removers,Encntr for testing of male prtnr of pt w recur preg loss,"PEDIFIX, INC.",$19.62,14
241,Allergies Rocky MTNS. U.S.,"Pnctr w fb of abd wall, epigst rgn w penet perit cav, init",King Bio Inc.,$284.85,04
242,Denti-Care Denti-Freeze,"Fx coronoid process of mandible, unspecified side, init",AR Medicom Inc,$544.62,01
243,Pro-Den Rx,"Oth fx low end r ulna, 7thJ","Zila Therapeutics, Inc.",$175.98,08
244,Pacerone,Other traumatic spondylolisthesis of sixth cervical vertebra,"Upsher-Smith Laboratories, Inc.",$646.53,12
245,Gyne-Lotrimin 3,"Nondisp fx of medial phalanx of right middle finger, init","MSD Consumer Care, Inc.",$300.91,09
246,CORZIDE,Other endosseous dental implant failure,Pfizer Laboratories Div Pfizer Inc,$964.16,08
247,Metformin Hydrochloride,"Chronic osteomyelitis w draining sinus, left radius and ulna",REMEDYREPACK INC.,$84.86,14
248,anti diarrheal,Chronic myeloproliferative disease,Publix Super Markets Inc,$106.82,02
249,HEM-EASY RELIEF Herbal Hemorrhoidal,"Corrosion of first degree of unspecified thigh, subs encntr","Batool Pharma International, Inc",$784.13,03
250,SHISEIDO UV PROTECTIVE FOUNDATION,Hyperplastic and giant kidney,SHISEIDO AMERICAS CORPORATION,$102.73,14
251,TopiCool Pain Relief,"Nondisp pilon fx l tibia, 7thN","TENSproducts, Inc.",$335.77,09
252,Rheumaforce,"Disp fx of posterior wall of right acetabulum, sequela","BioActive Nutritional, Inc.",$345.81,08
253,Allegra Allergy,"Poisoning by other psychotropic drugs, undetermined","Chattem, Inc.",$257.27,04
254,Glipizide,"Sprain of other part of right wrist and hand, init encntr",American Health Packaging,$394.62,03
255,careone allergy relief,"Oth physl fx upper end of r fibula, subs for fx w routn heal",American Sales Company,$147.97,10
256,Ropinirole,"Laceration of left kidney, unspecified degree, sequela","Trigen Laboratories, Inc.",$250.08,03
257,Lovastatin,"Oth traum nondisp spondylolysis of 7th cervcal vert, 7thK",St Marys Medical Park Pharmacy,$317.07,10
258,Venlafaxine Hydrochloride,"Basal cell carcinoma skin/ upper limb, including shoulder",Kremers Urban Pharmaceuticals Inc.,$835.38,15
259,Chest Cold,Sltr-haris Type IV physeal fx lower end of right tibia,Home Sweet Homeopathics,$113.71,08
260,Levothyroxine sodium,"Nondisp fx of third metatarsal bone, l foot, init for opn fx",Lake Erie Medical DBA Quality Care Products LLC,$945.75,09
261,Epinephrine,"Partial traumatic amp of two or more right lesser toes, subs","Amphastar Pharmaceuticals, Inc.",$78.42,07
262,Lovastatin,Newborn affected by maternal infec/parastc diseases,BluePoint Laboratories,$648.14,12
263,Mold Antigens,"Trisomy 21, mosaicism (mitotic nondisjunction)",Apotheca Company,$745.41,11
264,Morphine Sulfate,Other complications of amputation stump,West-ward Pharmaceutical Corp.,$689.85,04
265,Goat Epithelium,"Maternal care for viable fetus in abd preg, second tri, oth","Nelco Laboratories, Inc.",$437.75,13
266,Indigo Carmine,Lac w/o fb of r frnt wl of thorax w penet thoracic cavity,"American Regent, Inc.",$91.15,04
267,Aurum 17 Special Order,"Retained (old) intraocular foreign body, magnetic",Uriel Pharmacy Inc.,$483.90,02
268,Zep Provisions Pot and Pan Premium,"Type I occipital condyle fracture, left side, sequela",Zep Inc.,$604.80,07
269,Potassium Chloride,Driver of bus injured in collision w nonmtr vehicle in traf,"Upsher-Smith Laboratories, Inc.",$232.74,04
270,Diazepam,"Toxic effect of contact w stingray, undetermined, subs",KAISER FOUNDATION HOSPITALS,$946.39,09
271,Bladder Irritation,"Retinal detachment with giant retinal tear, left eye",Natural Health Supply,$554.37,05
272,CLARINS Extra-Comfort Broad Spectrum SPF 15 Sunscreen Tint 114,"Disp fx of med epicondyl of l humer, subs for fx w nonunion",Laboratoires Clarins S.A.,$801.17,03
273,GENOTROPIN,"Disp fx of coronoid pro of l ulna, 7thF",Pharmacia and Upjohn Company,$398.60,13
274,VERELAN,"Poisoning by glucocort/synth analog, self-harm, sequela","UCB, Inc.",$248.23,15
275,"Pollens - Trees, Olive Olea europaea","Corros first degree of unsp mult fngr, not inc thumb, subs",Jubilant HollisterStier LLC,$648.29,15
276,all day relief,Other specified disorders of right middle ear and mastoid,Publix Super Markets Inc,$447.66,03
277,Vital HGH Immune Booster,"Traum rupt of volar plate of r idx fngr at MCP/IP jt, subs","Liddell Laboratories, Inc.",$405.85,12
278,Adalat CC,"Cystocele, lateral",Bayer HealthCare Pharmaceuticals Inc.,$697.79,14
279,Topamax,"Poisoning by otorhino drugs and prep, self-harm, init","Janssen Pharmaceuticals, Inc.",$444.15,10
280,PROVIGIL,Encounter for health supervision and care of foundling,"Cephalon, Inc.",$733.41,15
281,Good Sense lansoprazole,"Abrasion of unspecified back wall of thorax, subs encntr",L. Perrigo Company,$786.42,03
282,MSM (MoSaengMo),"Displ commnt fx l patella, 7thF",Handock Cosmetics Inc,$274.24,05
283,Lorazepam,Burns involving 90% or more of body surface,Rebel Distributors Corp,$987.71,11
284,Pleo Pin,Varicose veins of right lower extremity with ulcer of thigh,Sanum Kehlbeck GmbH & Co. KG,$272.77,05
285,Glyburide,"Disp fx of head of unsp radius, subs for clos fx w malunion",Heritage Pharmaceuticals Inc.,$187.09,09
286,Quinapril,"Fracture of nasal bones, subs encntr for fracture w nonunion",AvPAK,$239.80,13
287,Good Neighbor Pharmacy,"Toxic effect of cobra venom, intentional self-harm, sequela",AMERISOURCEBERGEN DRUG CORPORATION,$24.85,09
288,Colosode,Athscl nonaut bio bypass of r leg w ulcer of heel and midft,Apotheca Company,$744.80,15
289,ELF Milk and Honey Cleansing Anti-bacterial Hand,"Frostbite with tissue necrosis of thorax, sequela","Hangzhou Facecare Cosmetics Co., Ltd.",$142.34,10
290,Digoxin,"Poisoning by antitussives, undetermined, subs encntr",Major Pharmaceuticals,$180.76,01
291,Arterioforce,Other hypoparathyroidism,"BioActive Nutritional, Inc.",$775.77,06
292,Primatene Mist Refill,"Burn of unsp deg mult fingers (nail), not including thumb","Armstrong Pharmaceuticals, Inc.",$48.31,09
293,Vanilla,"Sprain of radiocarpal joint of right wrist, subs encntr","Nelco Laboratories, Inc.",$519.16,10
294,Humalog 70/30,"Occupant of streetcar injured in unsp traffic accident, subs","Physicians Total Care, Inc.",$982.86,03
295,flormar REBORN BB SUNSCREEN BROAD SPECTRUM SPF 30 CP04 Rich Beige,"Retained (old) magnetic fb in vitreous body, right eye",Kosan Kozmetik Sanayi ve Ticaret A.S.,$861.78,08
296,Acetaminophen,Idiopathic aseptic necrosis of tibia and fibula,"New World Imports, Inc",$665.45,10
297,Western Family Broad Spectrum Sunscreen,Toxic effect of soaps,"WESTERN FAMILY FOODS, INC.",$110.00,04
298,Stomach Relief Anti Diarrheal,"Poisoning by antiallerg/antiemetic, assault, sequela",Select Corporation,$612.44,03
299,Banophen,Mineralocorticoids and their antagonists,Major Pharmaceuticals,$876.83,12
300,Ketorolac Tromethamine,"Unsp inj msl/tnd lng flxr msl toe at ank/ft lev,unsp ft,sqla",Akorn,$696.90,02
301,Eron Healing Tonic,"Infct of amniotic sac and membrns, unsp, unsp tri, unsp","GS-TK Co., Ltd",$102.40,01
302,SudoGest,"Unspecified subluxation of unspecified foot, subs encntr",Major Pharmaceuticals,$672.61,11
303,Levofloxacin,Collagenous colitis,West-Ward Pharmaceutical Corp,$342.39,15
304,MEDI-SULTING TOPICAL PAIN RELIEF,"Unsp fx head of r femr, 7thJ",Proficient Rx LP,$264.17,11
305,Moist SURE,Traumatic amputation at elbow level,DSHealthcare,$469.02,11
306,KIDS RELIEF ARNICA,Intcran inj w loss of consciousness of 6 hours to 24 hours,HOMEOLAB USA INC,$285.26,01
307,Testosterone Cypionate,Malignant neoplasm of right fallopian tube,Hikma Farmaceutica,$950.35,03
308,Pamidronate Disodium,Crushing injury of right shoulder and upper arm,Pfizer Laboratories Div Pfizer Inc,$866.59,10
309,Laxative Pills,"Sltr-haris Type III physl fx upr end l tibia, 7thP",TOP CARE (Topco Associates LLC),$484.69,15
310,"Butalbital, Acetaminophen and Caffeine","Abrasion of left upper arm, initial encounter",Rebel Distributors Corp,$409.13,05
311,Simvastatin,Obstetric damage to pelvic joints and ligaments,"Physicians Total Care, Inc.",$473.64,12
312,Western Family,Commercial fixed-wing aircraft explosion injuring occupant,Western Family Foods Inc,$186.56,07
313,Linden,"Unsp fracture of left patella, init for opn fx type I/2","Nelco Laboratories, Inc.",$375.97,01
314,Bupropion hydrochloride,"Disp fx of anterior wall of right acetab, init for opn fx",REMEDYREPACK INC.,$752.50,14
315,napoleon PERDIS SHEER GENIUS LIQUID FOUNDATION BROAD SPECTRUM SPF 20 Look 5,"Unspecified nondisp fx of fourth cervical vertebra, sequela","Napoleon Perdis Cosmetics, Inc",$685.44,10
316,CITOMIX,"Nondisp fx of posterior wall of left acetabulum, sequela",Guna spa,$880.84,05
317,Venlafaxine,"Complication of vein following a procedure, NEC, init",Aidarex Pharmaceuticals LLC,$767.03,09
318,Ibuprofen,Disorders of amino-acid transport,Walgreen Company,$396.04,04
319,HZ Formula,"Corrosion of first degree of right thumb (nail), sequela",Apotheca Company,$125.95,14
320,SOMA Atocell,"Puncture wound w/o foreign body of left shoulder, init","SOMA Biotechnology Co., Ltd",$97.43,05
321,Ranitidine Hydrochloride,Corrosion of second degree of right thumb (nail),Select Brand,$877.22,13
322,Treatment Set TS346697,"Other injury of sigmoid colon, sequela","Antigen Laboratories, Inc.",$222.20,08
323,TECHNIblock ULTRA SUNSCREEN,Prsn brd/alit pk-up/van injured in collision w ped/anml,The Myles Group LLC,$432.83,10
324,HZ,"Oth osteopor w crnt path fx, unsp forearm, 7thP",Apotheca Company,$899.02,01
325,Lamotrigine,"Toxic effect of organic solvents, accidental, sequela",Wockhardt USA LLC.,$41.98,03
326,Nabumetone,"Osteonecrosis due to drugs, left finger(s)","PD-Rx Pharmaceuticals, Inc.",$591.10,02
327,Midazolam HCl,"Swimmer's ear, left ear",Cantrell Drug Company,$795.57,07
328,ESTRACE,"Accident to, on or involving land-yacht, initial encounter","Warner Chilcott (US), LLC",$423.11,01
329,Chemdetox,Other conduct disorders,Restivo Chiropractic,$938.61,03
330,OXYCODONE AND ACETAMINOPHEN,"Unsp fx low end l tibia, 7thF",Lake Erie Medical DBA Quality Care Products LLC,$213.66,05
331,Dexamethasone,"Displaced oth extraarticular fracture of r calcaneus, init",A-S Medication Solutions LLC,$289.04,08
332,Olay Total Effects Anti-Aging Moisturizer,"Skeletal fluorosis, unspecified upper arm",Procter & Gamble Manufacturing Company,$527.80,13
333,Jute,"Toxic effect of herbicides and fungicides, self-harm, subs","Nelco Laboratories, Inc.",$733.84,03
334,TRAMADOL HYDROCHLORIDE,"Unsp superficial injury of right little finger, init encntr",Sun Pharma Global FZE,$379.13,07
335,Minoxidil,"Maternal care for oth rhesus isoimmun, unsp tri, fetus 2",H E B,$670.91,06
336,Valsartan and hydrochlorothiazide,"Displ commnt fx shaft of r fibula, 7thM","Watson Laboratories, Inc.",$900.36,05
337,FEIBA,"Toxic effect of chloroform, intentional self-harm",Baxter Healthcare Corporation,$616.83,05
338,Instant Hand Sanitizer,Unspecified effects of drowning and nonfatal submersion,Harmon Stores Inc,$72.27,11
339,Lithium Carbonate,"Infect/inflm reaction due to periton dialysis cath, sequela","Glenmark Generics Inc., USA",$160.28,06
340,Aspergillus niger,"Nondisp fx of body of scapula, unsp shoulder, init","Nelco Laboratories, Inc.",$809.37,08
341,Flavoxate Hydrochloride,"Nondisp midcervical fx l femr, 7thJ","TAGI Pharma, Inc.",$629.39,09
342,Lasix,Reform school as place,Sanofi-Aventis U.S. LLC,$275.94,03
343,Antibacterial Hand -Vanilla Brown Sugar,Oth comp of spinal and epidural anesth during labor and del,Lonkey Overseas Inc.,$655.98,13
344,Methadone Hydrochloride,Inj extensor musc/fasc/tend l mid finger at forearm level,VistaPharm Inc,$919.48,08
345,TIGAN,"Contusion of unspecified hand, subsequent encounter",REMEDYREPACK INC.,$284.32,10
346,Spinosad,"Unsp opn wnd right lesser toe(s) w damage to nail, init",Macoven Pharmaceuticals,$243.02,14
347,ck one airlight pressed powder spf 15,Cystic fibrosis with other intestinal manifestations,Coty US LLC,$478.32,07
348,INTENSE CARE GALACTOMYCES WHITENING,Cysts of left lower eyelid,"TONYMOLY CO., LTD.",$464.67,02
349,Allopurinol,"Laceration w/o fb of finger w/o damage to nail, sequela",Rebel Distributors Corp.,$375.48,14
350,"Alka-Seltzer Plus Severe Cold, Mucus and Congestion",Bacterial infection of unspecified site,"Bayer HealthCare LLC, Consumer Care",$176.65,04
351,Jantoven,"Unspecified injury of lung, unilateral, sequela",Cardinal Health,$850.88,03
352,mally Poreless Perfection Glowing Foundation Fair,"Accident to, on or involving land-yacht, subs encntr","MallyGirl, LLC",$428.67,03
353,Ibuprofen,"Inj ulnar artery at wrs/hnd lv of unsp arm, sequela",American Health Packaging,$130.88,14
354,Benazepril Hydrochloride and Hydrochlorothiazide,"Displaced articular fracture of head of unsp femur, init",Mylan Pharmaceuticals Inc.,$567.66,02
355,AntiBac Foam Wash/Aerogreen,"Contusion of right forearm, initial encounter","Deb USA, Inc.",$184.08,12
356,Hydroxyzine Hydrochloride,Corros 80-89% of body surface w 80-89% third degree corros,"Physicians Total Care, Inc.",$118.30,13
357,Terazosin Hydrochloride,"Unspecified superficial injury of unspecified thigh, sequela","Physicians Total Care, Inc.",$27.80,10
358,ethosuximide,"Pediculosis, unspecified","Mikart, Inc.",$412.35,05
359,Furosemide,"Inj great saphenous at hip and thigh level, right leg, subs",Cardinal Health,$884.49,04
360,Smooth Brome,"Poisoning by oth drug/meds/biol subst, intentional self-harm","Nelco Laboratories, Inc.",$852.83,12
361,Alloy,"Intermittent hydrarthrosis, hip","Melaleuca, Inc",$367.43,01
362,Nisoldipine,"Superficial foreign body of unsp front wall of thorax, subs","United Research Laboratories, Inc.",$375.54,05
363,Furosemide,"Partial traum amp at level betw r shldr and elbow, sequela",McKesson Contract Packaging,$685.82,03
364,Childrens Ibuprofen,"Poisoning by unsp general anesthetics, accidental, init",Kinray Inc.,$891.57,07
365,Licorice,"Nondisp fx of nk of scapula, l shldr, subs for fx w nonunion","Nelco Laboratories, Inc.",$906.77,14
366,Viscum Crataegus,Person outside 3-whl mv inj in clsn w nonmtr vehicle nontraf,Uriel Pharmacy Inc.,$640.97,10
367,Clario Foaming Antibacterial Skin Cleanser,Sltr-haris Type IV physeal fx lower end of right tibia,"Betco Corporation, Ltd.",$524.20,15
368,Salsalate,"Nondisp commnt fx shaft of humer, unsp arm, init for opn fx",Clinical Solutions Wholesale,$117.11,13
369,DiorSkin Nude 051 Dark Sand,"Nondisp unsp condyle fx low end r femr, 7thR",Parfums Christian Dior,$43.77,15
370,PRAVASTATIN SODIUM,"Oth fx shaft of r fibula, subs for clos fx w nonunion",Clinical Solutions Wholesale,$196.90,04
371,Teething - Colic,"Subluxation of C1/C2 cervical vertebrae, sequela","Newton Laboratories, Inc.",$454.82,07
372,Otic Care Antipyrine and Benzocaine,Olecranon bursitis,PureTek Corporation,$887.35,01
373,LEVOFLOXACIN,Alcohol abuse with alcohol-induced anxiety disorder,Cardinal Health,$389.00,12
374,Ergocalciferol,"Fall from burning bldg in controlled fire, init","AvKARE, Inc.",$568.51,09
375,TEMODAR,"Diffuse large B-cell lymphoma, intra-abdominal lymph nodes","Physicians Total Care, Inc.",$755.80,08
376,Degree,Displaced fracture of neck of left radius,Conopco Inc. d/b/a Unilever,$234.85,02
377,ZIT ERASER,"Nondisp post arch fx first cervcal vertebra, init for opn fx",J. A. Cosmetics U.S. INC,$70.60,12
378,Metoprolol Tartrate,Encntr screen for malignant neoplasm of respiratory organs,Bedford Laboratories,$914.28,12
379,TONG LUO QU TONG GAO,Other forms of cryptococcosis,HENAN LINGRUI PHARMACEUTICAL CO LTD,$472.17,03
380,Citalopram,"Prsn brd/alit hv veh inj pick-up truck, pk-up/van, sequela",Teva Pharmaceuticals USA Inc,$117.87,07
381,Cosmeceutical Mask Pack,"Displaced fracture of trapezoid, left wrist","YBK Investment, INC",$226.80,13
382,TRIPLE ANTIBIOTIC,"Type 1 diab with mod nonp rtnop with macular edema, l eye",The Kroger Co.,$801.14,03
383,BUPROBAN,"Ped on foot injured pick-up truck, pk-up/van, unsp, sequela",TEVA Pharmaceuticals USA Inc,$938.59,08
384,Morphine Sulfate,"Sltr-haris Type II physl fx upr end humer, r arm, 7thK","Upsher-Smith Laboratories, Inc.",$741.79,04
385,Benztropine Mesylate,"Spermatocele of epididymis, unspecified","Bayshore Pharmaceuticals, LLC",$49.92,05
386,Kali Bichromicum Kit Refill,"Nondisp fx of med condyle of l tibia, 7thF",Washington Homeopathic Products,$307.58,02
387,NITETIME,"Cystic meniscus, unspecified meniscus, right knee",Publix Super Markets Inc,$324.37,04
388,Zep Professional Alcohol Hand Sanitizing,"Inj musc/fasc/tend long head of biceps, right arm, sequela",Zep Inc.,$29.36,02
389,Levothyroxine sodium,"Lacerat unsp blood vessel at lower leg level, left leg, init",Sandoz Inc.,$146.91,02
390,Dr. Jart Bounce Beauty Balm 01 Light-medium,"Partial traumatic amputation at elbow level, right arm, init","Have and Be Co., Ltd.",$527.26,09
391,Childrens Fever Reducer and Pain Reliever,"Exposure to melting of oth clothing and apparel, init encntr",Rite Aid Corporation,$42.12,05
392,Tonic,"Nondisp commnt fx l patella, subs for clos fx w routn heal",CarePluss Pharma S.A. de C.V.,$747.72,14
393,Cyclomydril,Oth spon disruption of medial collateral ligament of knee,"Alcon Laboratories, Inc.",$482.52,01
394,tizanidine,"Unstbl burst fx fifth lum vertebra, subs for fx w delay heal","Preferred Pharmaceuticals, Inc.",$873.80,04
395,RE-PB HYOS ELIXIR,"Unspecified kyphosis, site unspecified",KAISER FOUNDATION HOSPITALS,$804.02,06
396,Oxygen,"Foreign body in conjunctival sac, left eye, sequela",Mercy Home Care-HME,$302.20,10
397,Hydrogen Peroxide,"Animal-rider injured in unsp transport accident, subs encntr",Kinray Inc,$761.91,08
398,Western Family Broad Spectrum Sunscreen,"Unsp inj musc/tend the rotator cuff of l shoulder, sequela","WESTERN FAMILY FOODS, INC.",$417.09,10
399,Flanax Pain Reliever,Pedestrian injured nontraf involving oth and unsp mv,Belmora LLC,$479.26,03
400,Ampicillin,Sulfonamides,AGILA SPECIALTIES PRIVATE LIMITED,$456.71,01
401,OXYGEN,"Contusion of eyeball and orbital tissues, left eye, subs",South East Alaska Medical Suppliers Inc.,$896.55,08
402,Alendronate Sodium,"Nondisp suprcndl fx w/o intrcndl extn low end r femr, 7thH",Mylan Institutional Inc.,$162.98,03
403,Black Willow Pollen,"Embolism due to cardiac prosth dev/grft, initial encounter","Allermed Laboratories, Inc.",$446.80,09
404,Antifungal,"Bitten by crocodile, sequela",Safeway,$589.79,14
405,Apeaz Ultra,Injury of thoracic sympathetic nervous system,"Innovus Pharmaceuticals, Inc.",$871.01,12
406,Metoclopramide,"Nondisp oblique fx shaft of l tibia, 7thB",Mylan Institutional Inc.,$128.62,12
407,Triamterene and Hydrochlorothiazide Capsules,Contact with or inhalation of liquid air,"UDL Laboratories, Inc.",$110.03,02
408,Leader Extra Strength Medicated Pain Relief Patch,Superficial foreign body of unspecified wrist,Cardinal Health,$715.23,10
409,MAJOR ULTRA STRENGTH GAS RELIEF,"Oth fx shaft of unsp tibia, subs for clos fx w delay heal",Major Pharmaceuticals,$20.91,10
410,Diltiazem Hydrochloride,"Struck by other sports foot wear, initial encounter",State of Florida DOH Central Pharmacy,$337.47,06
411,MED NAP,"Galeazzi's fx l rad, subs for opn fx type I/2 w delay heal",Med-Nap LLC,$936.43,08
412,Terazosin Hydrochloride,Other noninflammatory disorders of the testis,Major Pharmaceuticals,$912.42,12
413,Bio-Scriptives Lidum,"Leakage of internal prosth dev/grft, init","BioChemics, Inc",$792.61,12
414,Fluoxetine,"Acute angle-closure glaucoma, unspecified eye",Proficient Rx LP,$409.98,11
415,Trifluoperazine Hydrochloride,"Driver of bus injured pick-up truck, pk-up/van in traf, init",REMEDYREPACK INC.,$598.23,08
416,LE BLANC,"Poisoning by emetics, undetermined",CHANEL PARFUMS BEAUTE,$881.26,06
417,ALLERGY RELIEF,"Driver of pk-up/van injured in clsn w oth mv in traf, subs",HOMEOLAB USA INC.,$261.79,05
418,Hydrocortisone,"Fracture of one rib, left side, init for clos fx","NeoPharm Co., Ltd.",$584.90,05
419,ANTACID,"Part traum amp at level betw unsp shldr and elbow, sequela",Target Corporation,$280.74,03
420,Prevent,"Laceration of unsp blood vessel at forarm lv, left arm, init","Pro Chem, Incorporated",$555.71,14
421,Diphenhydramine HCl,Fracture of medial phalanx of lesser toe(s),Softech Pharma Pvt. Ltd,$869.67,15
422,English Walnut Pollen,Other specified dermatitis,"Allermed Laboratories, Inc.",$103.53,06
423,Olive Leaf Antibacterial Foaming Hand Wash,"Traumatic rupture of ligament of finger at MCP/IP jt, subs","SJ Creations, Inc.",$368.38,11
424,Gehwol Fusskraft Nail and Skin Protection,"Displ transverse fx unsp patella, 7thC",Eduard Gerlach GmbH,$88.50,14
425,EyeClear Pro,Precipitous drop in hematocrit,"Native Remedies, LLC",$781.48,11
426,triamcinolone acetonide,"Unsp fracture of unsp patella, subs for clos fx w malunion",Rebel Distributors Corp,$966.41,01
427,safety coated aspirin,"Sltr-haris Type III physl fx low end rad, r arm, 7thD",Care One (American Sales Company),$678.49,15
428,Natures Choice Cool Hot Ice,"Erosion of graft of urinary organ, subsequent encounter","Unipack, Inc.",$285.82,14
429,Pleo Citro,Toxic effects of corrosive alkalis and alk-like substances,Sanum Kehlbeck GmbH & Co. KG,$264.25,11
430,Care One Suphedrine Nasal Decongestant,"Disp fx of ant wall of unsp acetab, subs for fx w nonunion",American Sales Company,$610.78,08
431,Finasteride,Rheu arthritis of right hand w involv of organs and systems,Aurobindo Pharma Limited,$337.18,01
432,Enviroclenz,"Oth fx third MC bone, left hand, subs for fx w malunion","Deseret Biologicals, Inc.",$866.54,04
433,Amiodarone Hydrochloride,"Crushing inj unsp part(s) of l wrist, hand and fingers, init","Taro Pharmaceuticals U.S.A., Inc.",$149.57,12
434,Metoclopramide,"Aortic aneurysm of unspecified site, without rupture",Mylan Institutional Inc.,$241.21,13
435,Anti-Bacterial Hand,"Unspecified physeal fracture of left metatarsal, sequela","Bath & Body Works, Inc.",$658.10,07
436,Imipramine Hydrochloride,Personal history of urinary (tract) infections,"Physicians Total Care, Inc.",$196.80,01
437,Children Acetaminophen,Third degree hemorrhoids,"A&Z Pharmaceutical, Inc.",$38.97,04
438,Hydrogen Peroxide,"Poisoning by barbiturates, assault, sequela","Medline Industries, Inc.",$561.42,07
439,METFORMIN HYDROCHLORIDE,"Superficial foreign body of breast, unsp breast, sequela","Preferred Pharmaceuticals, Inc.",$271.10,13
440,FLU KIDS RELIEF,"Unspecified injury of liver, subsequent encounter",HOMEOLAB USA INC,$272.99,04
441,Escitalopram Oxalate,"Other mastoiditis and related conditions, right ear","Camber Pharmaceuticals, Inc.",$198.35,10
442,ck one waterfresh face makeup spf 15,"Nondisp commnt fx shaft of l tibia, init for opn fx type I/2",Coty US LLC,$344.39,07
443,Alcohol,"Stress fracture, right hand","NANTONG STRIP MEDICAL SUPPLY CO.,LTD.",$576.71,04
444,Aspirin,"Partial traumatic amputation of right midfoot, sequela",America Medic,$47.98,11
445,Risperidone,"Ped w convey injured in collision w hv veh, unsp, sequela",Teva Pharmaceuticals USA Inc,$855.23,06
446,Chlorhexidine Gluconate,"Maternal care for oth isoimmun, second trimester, unsp",Cardinal Health,$507.26,06
447,Amlodipine Besylate,Fracture of fourth metatarsal bone,Cadila Healthcare Limited,$545.97,12
448,Cetirizine Hydrochloride,"Rupture of synovium, right ankle",CVS Pharmacy,$831.70,02
449,Careone,Noise effects on inner ear,American Sales Company,$425.10,05
450,Healthy Hands Foaming Instant Hand Sanitizer,Pain in joints of right hand,"Deb USA, Inc.",$328.47,01
451,CEDAX,Anemia due to disorders of glycolytic enzymes,"Pernix Therapeutics, LLC",$916.28,05
452,Treatment Set TS332091,"Poisoning by aspirin, undetermined, subsequent encounter","Antigen Laboratories, Inc.",$175.26,09
453,CVS PHARMACY,"Low-tension glaucoma, left eye, stage unspecified",CVS PHARMACY,$934.83,02
454,Lidocaine,"Unspecified open wound of larynx, initial encounter","Darby Dental Supply, LLC",$367.64,13
455,Tamoxifen Citrate,"Pnctr w foreign body of l mid finger w damage to nail, subs",KAISER FOUNDATION HOSPITALS,$258.32,08
456,Lucky Instant Hand Sanitizer Citrus Zest,"Other superficial bite of lip, initial encounter",Delta Brands Inc,$737.28,15
457,Fentanyl - NOVAPLUS,"Inj axillary or brachial vein, left side, subs encntr","Watson Laboratories, Inc.",$200.87,06
458,LAMICTAL,"Unsp fracture of left calcaneus, subs for fx w delay heal",Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,$190.11,07
459,up and up ranitidine,"Oth traum nondisp spondylolysis of sixth cervcal vert, 7thG",Target Corporation,$698.06,14
460,APTIDINE,"Toxic effect of venom of other Australian snake, assault",A P J Laboratories Limited,$44.30,06
461,equate allergy relief,Inflamed seborrheic keratosis,Wal-Mart Stores Inc,$852.06,09
462,SUNSCREEN,"Disp fx of post pro of right talus, subs for fx w routn heal",COSMOCEUTICAL RESEARCH CENTER INC,$206.07,15
463,Antibacterial,"Reiter's disease, hand",Personal Care Products LLC,$163.89,11
464,Losartan Potassium and Hydrochlorothiazide,"Oth osteoporosis w current pathological fracture, unsp site",Teva Pharmaceuticals USA Inc,$77.22,10
465,Mucor,Transverse fracture of shaft of humerus,USPharmaCo,$655.31,02
466,Calcium Chloride,"Arthritis due to other bacteria, unspecified joint","General Injectables & Vaccines, Inc",$679.70,11
467,Terbinafine Hydochloride,"Sltr-haris Type IV physl fx upr end humer, unsp arm, 7thP","Physicians Total Care, Inc.",$250.99,11
468,CD DIORSKIN NUDE SKIN-GLOWING MAKEUP SUNSCREEN BROAD SPECTRUM SPF 15 063 Amber,Cell of prison as place,Parfums Christian Dior,$416.53,03
469,Unithroid,"Burn of third degree of unspecified ankle, sequela","Gemini Laboratories, LLC",$276.92,14
470,Love and Beauty Peach Mango Anti-Bacterial Hand Sanitizer,Bullous impetigo,ALILY (ZHANGZHOU) BATH PRODUCTS LTD.,$373.60,07
471,Harmon Face Values Baby Healing,"Acquired epidermolysis bullosa, unspecified",Delta Pharma Inc.,$79.97,09
472,Sulfamethoxazole and Trimethoprim,Unspecified injury of blood vessel of right little finger,Gen-Source Rx,$614.15,15
473,Homeopathic Immunity Supporting Adjuvant,Pilonidal cyst and sinus without abscess,Ortas International Group S.A.,$624.85,05
474,Atorvastatin Calcium,"Surgical instrumnt, materials and opth devices assoc w incdt",Ranbaxy Pharmaceuticals Inc.,$100.77,02
475,Leader Allerhist,"Osteolysis, right thigh",Cardinal Health,$985.37,03
476,Morphine Sulfate,"External constriction of unspecified thumb, init encntr","Hospira, Inc.",$91.65,05
477,Baczol Expectorant,"Unspecified superficial injury of right thigh, sequela",Lex Inc,$513.77,08
478,TABCIN,Poisoning by and adverse effect of heroin,"Salimex, S.A.",$270.82,13
479,Aspirin,Cysts of right upper eyelid,"Western Family Foods, Inc.",$612.44,05
480,ECOLAB,Perf due to fb acc left in body following kidney dialysis,Ecolab Inc.,$511.04,05
481,acamprosate calcium,Moderate laceration of right kidney,"Forest Laboratories, Inc.",$289.67,04
482,Finasteride,"Combined immunodeficiency, unspecified",Teva Pharmaceuticals USA Inc,$566.88,15
